[07:09:01] 🚀 CUDA GPU: Tesla V100-SXM2-32GB
[07:09:01] Inference Server running on: cuda:0
[07:09:01] Inference Server: 等待 Trainer 注入已完成手术的初始权重...
[07:09:16] Worker 0 started.
[07:09:17] Worker 1 started.
[07:09:17] Worker 2 started.
[07:09:18] Worker 3 started.
[07:09:18] Worker 4 started.
[07:09:19] Worker 5 started.
[07:09:19] Worker 6 started.
[07:09:20] Worker 7 started.
[07:09:20] Worker 8 started.
[07:09:21] Worker 9 started.
[07:09:21] Worker 10 started.
[07:09:22] Worker 11 started.
[07:09:22] Worker 12 started.
[07:09:23] Worker 13 started.
[07:09:23] Worker 14 started.
[07:09:24] Worker 15 started.
[07:09:24] 🚀 CUDA GPU: Tesla V100-SXM2-32GB
[07:09:24] Trainer running on: cuda:0
[07:09:24] Worker 16 started.
[07:09:25] Worker 17 started.
[07:09:25] ✅ 成功加载 PPO Elite 模型，开启 Self-Play 进阶训练！
[07:09:25] PPO Conditioned Training (Domain Randomization) Start.
[07:09:25] ✅ Inference Server: 初始权重接收完毕，开启高频推理循环！
[07:09:25] Worker 18 started.
[07:09:26] Worker 19 started.
[07:13:14] STEPS: 76038 | P_LOSS: 0.0046 | V_LOSS: 1.7449 | ENT: 0.0186 | REWARD: -0.97
[07:13:17] STEPS: 77065 | P_LOSS: 0.0039 | V_LOSS: 1.6859 | ENT: 0.0186 | REWARD: -0.47
[07:13:20] STEPS: 78091 | P_LOSS: 0.0043 | V_LOSS: 1.7415 | ENT: 0.0186 | REWARD: -0.33
[07:13:24] STEPS: 79120 | P_LOSS: 0.0023 | V_LOSS: 1.9489 | ENT: 0.0186 | REWARD: -0.01
[07:13:27] STEPS: 80149 | P_LOSS: 0.0170 | V_LOSS: 1.7817 | ENT: 0.0186 | REWARD: -0.57
[07:13:30] STEPS: 81174 | P_LOSS: 0.0054 | V_LOSS: 1.7108 | ENT: 0.0185 | REWARD: -0.97
[07:13:33] STEPS: 82198 | P_LOSS: 0.0030 | V_LOSS: 1.6839 | ENT: 0.0185 | REWARD: 0.10
[07:13:36] STEPS: 83223 | P_LOSS: 0.0065 | V_LOSS: 1.9354 | ENT: 0.0185 | REWARD: -0.03
[07:13:39] STEPS: 84257 | P_LOSS: 0.0064 | V_LOSS: 1.9696 | ENT: 0.0185 | REWARD: -0.50
[07:13:42] STEPS: 85287 | P_LOSS: 0.0060 | V_LOSS: 1.8003 | ENT: 0.0185 | REWARD: -0.39
[07:13:45] STEPS: 86313 | P_LOSS: 0.0041 | V_LOSS: 1.6099 | ENT: 0.0184 | REWARD: -0.77
[07:13:48] STEPS: 87344 | P_LOSS: 0.0040 | V_LOSS: 1.9289 | ENT: 0.0184 | REWARD: 0.04
[07:13:51] STEPS: 88368 | P_LOSS: 0.0026 | V_LOSS: 2.1460 | ENT: 0.0184 | REWARD: 0.36
[07:13:54] STEPS: 89401 | P_LOSS: 0.0034 | V_LOSS: 1.6904 | ENT: 0.0184 | REWARD: -0.34
[07:13:58] STEPS: 90432 | P_LOSS: 0.0087 | V_LOSS: 2.1388 | ENT: 0.0184 | REWARD: -0.36
[07:14:01] STEPS: 91457 | P_LOSS: 0.0079 | V_LOSS: 1.9991 | ENT: 0.0184 | REWARD: -0.47
[07:14:04] STEPS: 92488 | P_LOSS: 0.0090 | V_LOSS: 2.0069 | ENT: 0.0183 | REWARD: 0.23
[07:14:07] STEPS: 93513 | P_LOSS: 0.0150 | V_LOSS: 1.8746 | ENT: 0.0183 | REWARD: -0.41
[07:14:10] STEPS: 94540 | P_LOSS: 0.0095 | V_LOSS: 1.9294 | ENT: 0.0183 | REWARD: -0.57
